"Order","Family","Genus","Species","Status","Country","State","Period","Epoch","overlap_percentage","Min age","Max age","Collection number","Collection authorizer","Reference","Note"
"Notoungulata","Acoelodidae","Maxschlosseria","anatoma","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","consumata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","consumata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,44956,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","consumata","extinct","Argentina","Chubut","Paleogene","Eocene",100,40.4,48.6,176165,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","consumata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176170,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","expansa","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,48.6,176285,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minima","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minima","extinct","Argentina","Chubut","Paleogene","Eocene",100,40.4,48.6,176165,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minima","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,48.6,176285,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minuta","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,44956,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minuta","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","minuta","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176172,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","praeterita","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","praeterita","extinct","Argentina","Chubut","Paleogene","Eocene",100,40.4,48.6,176165,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","rusticula","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","rusticula","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","rusticula","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","rusticula","extinct","Argentina","Chubut","Paleogene","Eocene",100,40.4,48.6,176165,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","septa","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","consumata","extinct","Argentina","Chubut","Paleogene","Eocene",100,38,41.3,13779,"J. Zijlstra","F. Ameghino. 1901. Notices préliminaires sur des ongulés nouveaux des terrains crétacés de Patagonie [Preliminary notes on new ungulates from the Cretaceous terrains of Patagonia]. Boletin de la Academia Nacional de Ciencias de Córdoba 16:349-429",
"Notoungulata","Acoelodidae","Oldfieldthomasia","anfractuosa","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176163,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,49900,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,55.8,49902,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,175744,"R. Butler","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176180,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176181,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176182,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176185,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176186,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176191,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","debilitata","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,48.6,176285,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","parvidens","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","parvidens","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia",,"extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,175739,"R. Butler","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia",,"extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,175743,"R. Butler","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia",,"extinct","Argentina","Chubut","NA","Eocene",45.05,15.97,48.6,176461,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Oldfieldthomasia","transversa","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Ortholophodon","prolongus","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,37.2,176290,"J. Zijlstra","https://www.mindat.org/taxon-4829468.html","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Paginula","parca","extinct","Argentina","Chubut","Paleogene","Eocene",100,38,41.3,176169,"P. Mannion","R. Pascual, A. A. Carlini, and M. Bond, F. J. Goin. 2002. Mamíferos Cenozoicos.  In M. J. Haller (ed.), Geología y Recursos Naturales de Santa Cruz. Relatorio del XV° Congreso Geológico Argentino. Buenos Aires: El Calafate. II-11:1-12",
"Notoungulata","Acoelodidae","Paginula","parca","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Paginula","parca","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Paginula","parca","extinct","Argentina","Chubut","Paleogene","Eocene",100,40.4,48.6,176165,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Paginula","parca","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176167,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Paginula","parca","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,48.6,176285,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Suniodon","catamarcensis","extinct","Argentina","Catamarca","Paleogene","Eocene",100,33.9,37.2,41608,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Suniodon",,"extinct","Argentina","Catamarca","Paleogene","Eocene",100,33.9,37.2,41608,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Tsamnichoria","cabrerai","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,37.2,176289,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Ultrapithecus","rutilans","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Ultrapithecus","rutilans","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176175,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Ultrapithecus","rutilans","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176178,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Ultrapithecus","rutilans","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176180,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Ultrapithecus","rutilans","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176181,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Ultrapithecus","rutilans","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176185,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Ultrapithecus","rutilans","extinct","Argentina","Chubut","Paleogene","Eocene",100,33.9,40.4,176189,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Xenostephanus","chiottii","extinct","Argentina","Mendoza","Paleogene","Eocene",100,36,42,92669,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Primates","Aotidae","Aotus","dindensis","extinct","Colombia","Huila","Neogene","Miocene",100,15.5,16.3,13630,"J. Alroy","https://www.mindat.org/taxon-2436667.html",
"Primates","Aotidae","Aotus","dindensis","extinct","Colombia","Huila","Neogene","Miocene",100,11.8,13.8,188085,"A. Cardenas","https://www.mindat.org/taxon-2436667.html",
"Primates","Aotidae","Aotus","trivirgatus","extant","Panama","NA","Quaternary","Holocene",97.5,0,0.012,21691,"A. Behrensmeyer","https://www.mindat.org/taxon-2436667.html",
"Primates","Aotidae","Aotus","trivirgatus","extant","Peru","NA","Quaternary","Holocene",97.5,0,0.012,21689,"A. Behrensmeyer","https://www.mindat.org/taxon-2436667.html",
,"Acaremyidae","Acaremys","major","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176590,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","messor","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176593,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,141368,"C. Jaramillo","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,59324,"D. Croft","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,59333,"D. Croft","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,59334,"D. Croft","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,142533,"C. Jaramillo","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176563,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176570,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176589,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176593,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176596,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","murinus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176596,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","preminutus","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,27311,"J. Head","NA",
,"Acaremyidae","Acaremys",,"extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,176205,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys",,"extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176571,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys",,"extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176622,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","tricarinatus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176570,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","tricarinatus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176593,"J. Zijlstra","NA",
,"Acaremyidae","Acaremys","tricarinatus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176620,"J. Zijlstra","NA",
,"Acaremyidae","Galileomys","antelucanus","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,27311,"J. Head","NA",
,"Acaremyidae","Galileomys","antelucanus","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,141368,"C. Jaramillo","NA",
,"Acaremyidae","Galileomys","baios","extinct","Argentina","Chubut","NA","Oligocene",74.62,21,29,14211,"J. Alroy","NA",
,"Acaremyidae","Galileomys","colloncurensis","extinct","Argentina","Neuquén","Neogene","Miocene",100,13.8,15.5,141175,"C. Jaramillo","NA",
,"Acaremyidae","Galileomys","eurygnathus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16,18,59133,"D. Croft","NA",
,"Acaremyidae","Galileomys","eurygnathus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16,18,59319,"D. Croft","NA",
,"Acaremyidae","Galileomys","eurygnathus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,59320,"D. Croft","NA",
,"Acaremyidae","Galileomys","eurygnathus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,59321,"D. Croft","NA",
,"Acaremyidae","Galileomys","eurygnathus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,59322,"D. Croft","NA",
,"Acaremyidae","Galileomys","eurygnathus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16,18,59323,"D. Croft","NA",
,"Acaremyidae","Galileomys","eurygnathus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,59325,"D. Croft","NA",
,"Acaremyidae","Platypittamys","brachyodon","extinct","Argentina","Chubut","NA","Oligocene",74.62,21,29,49783,"J. Alroy","NA",
,"Acaremyidae","Pseudoacaremys","kramarzi","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176565,"J. Zijlstra","NA",
,"Acaremyidae","Pseudoacaremys","kramarzi","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176590,"J. Zijlstra","NA",
,"Acaremyidae","Pseudoacaremys","kramarzi","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176593,"J. Zijlstra","NA",
"Liptoterna","Adianthidae","Adianthus","buccatus","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,15.97,23.03,142533,"C. Jaramillo","NA",
"Liptoterna","Adianthidae","Adianthus","godoyi","extinct","Chile","NA","Neogene","Miocene",100,15.5,16.3,176666,"J. Zijlstra","NA",
"Liptoterna","Adianthidae","Adiantoides","leali","extinct","Argentina","Mendoza","Paleogene","Eocene",100,36,42,92669,"J. Alroy","NA",
"Liptoterna","Adianthidae","Adiantoides","magnus","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,44956,"D. Croft","NA",
"Liptoterna","Adianthidae","Indalecia","grandensis","extinct","Argentina","Salta","Paleogene","Eocene",100,37.2,48.6,13775,"J. Alroy","NA",
"Liptoterna","Adianthidae","Proadiantus","excavatus","extinct","Argentina","Chubut","NA","Oligocene",74.62,21,29,14211,"J. Alroy","NA",
"Liptoterna","Adianthidae","Proadiantus","excavatus","extinct","Argentina","Chubut","NA","Oligocene",74.62,21,29,14211,"J. Alroy","NA",
"Liptoterna","Adianthidae","Proadiantus","excavatus","extinct","Argentina","Chubut","NA","Oligocene",74.62,21,29,14211,"J. Alroy","NA",
"Liptoterna","Adianthidae","Proheptaconus","patagonicus","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,27311,"J. Head","NA",
"Liptoterna","Adianthidae","Proheptaconus","patagonicus","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,141368,"C. Jaramillo","NA",
